ParentItem,ComponentItem,QtyPer,ScrapPct
BIKE-MTB,FRAME-MTB,1.0,0.01
BIKE-MTB,WHEEL-26,2.0,0.01
BIKE-MTB,DRIVE-21S,1.0,0.01
BIKE-MTB,BRAKE-DISC,1.0,0.01
BIKE-MTB,SADDLE-ASSY,1.0,0.01
BIKE-ROAD,FRAME-ROAD,1.0,0.01
BIKE-ROAD,WHEEL-700C,2.0,0.01
BIKE-ROAD,DRIVE-14S,1.0,0.01
BIKE-ROAD,BRAKE-RIM,1.0,0.01
BIKE-ROAD,SADDLE-ASSY,1.0,0.01
BIKE-KIDS,FRAME-KIDS,1.0,0.01
BIKE-KIDS,WHEEL-20,2.0,0.01
BIKE-KIDS,DRIVE-SS,1.0,0.01
BIKE-KIDS,BRAKE-RIM,1.0,0.01
BIKE-KIDS,SADDLE-ASSY,1.0,0.01
FRAME-MTB,TUBESET-MTB,1.0,0.02
FRAME-MTB,PAINT-PWD,0.35,0.05
FRAME-ROAD,TUBESET-ROAD,1.0,0.02
FRAME-ROAD,PAINT-PWD,0.3,0.05
FRAME-KIDS,TUBESET-KIDS,1.0,0.02
FRAME-KIDS,PAINT-PWD,0.25,0.05
WHEEL-26,RIM-26,1.0,0.01
WHEEL-26,HUB-STD,1.0,0.01
WHEEL-26,SPOKE,32.0,0.03
WHEEL-26,TYRE-26,1.0,0.01
WHEEL-700C,RIM-700C,1.0,0.01
WHEEL-700C,HUB-STD,1.0,0.01
WHEEL-700C,SPOKE,32.0,0.03
WHEEL-700C,TYRE-700C,1.0,0.01
WHEEL-20,RIM-20,1.0,0.01
WHEEL-20,HUB-STD,1.0,0.01
WHEEL-20,SPOKE,28.0,0.03
WHEEL-20,TYRE-20,1.0,0.01
DRIVE-21S,CHAIN,1.0,0.01
DRIVE-21S,CRANKSET,1.0,0.01
DRIVE-21S,DERAILLEUR,1.0,0.01
DRIVE-14S,CHAIN,1.0,0.01
DRIVE-14S,CRANKSET,1.0,0.01
DRIVE-14S,DERAILLEUR,1.0,0.01
DRIVE-SS,CHAIN,1.0,0.01
DRIVE-SS,CRANKSET,1.0,0.01
TUBESET-MTB,ALU-TUBE-STK,4.2,0.06
TUBESET-ROAD,ALU-TUBE-STK,4.6,0.06
TUBESET-KIDS,STL-TUBE-STK,3.4,0.06
