Period,Week,Item,Demand
1,W01,BIKE-MTB,125
2,W02,BIKE-MTB,112
3,W03,BIKE-MTB,134
4,W04,BIKE-MTB,138
5,W05,BIKE-MTB,108
6,W06,BIKE-MTB,116
7,W07,BIKE-MTB,134
8,W08,BIKE-MTB,131
9,W09,BIKE-MTB,136
10,W10,BIKE-MTB,129
11,W11,BIKE-MTB,149
12,W12,BIKE-MTB,150
13,W13,BIKE-MTB,144
14,W14,BIKE-MTB,158
15,W15,BIKE-MTB,152
16,W16,BIKE-MTB,139
17,W17,BIKE-MTB,155
18,W18,BIKE-MTB,142
19,W19,BIKE-MTB,164
20,W20,BIKE-MTB,155
21,W21,BIKE-MTB,156
22,W22,BIKE-MTB,152
23,W23,BIKE-MTB,175
24,W24,BIKE-MTB,162
25,W25,BIKE-MTB,160
26,W26,BIKE-MTB,163
27,W27,BIKE-MTB,174
28,W28,BIKE-MTB,174
29,W29,BIKE-MTB,177
30,W30,BIKE-MTB,179
31,W31,BIKE-MTB,199
32,W32,BIKE-MTB,173
33,W33,BIKE-MTB,174
34,W34,BIKE-MTB,172
35,W35,BIKE-MTB,190
36,W36,BIKE-MTB,197
1,W01,BIKE-ROAD,78
2,W02,BIKE-ROAD,91
3,W03,BIKE-ROAD,109
4,W04,BIKE-ROAD,133
5,W05,BIKE-ROAD,139
6,W06,BIKE-ROAD,134
7,W07,BIKE-ROAD,114
8,W08,BIKE-ROAD,104
9,W09,BIKE-ROAD,87
10,W10,BIKE-ROAD,76
11,W11,BIKE-ROAD,77
12,W12,BIKE-ROAD,78
13,W13,BIKE-ROAD,94
14,W14,BIKE-ROAD,108
15,W15,BIKE-ROAD,128
16,W16,BIKE-ROAD,143
17,W17,BIKE-ROAD,134
18,W18,BIKE-ROAD,138
19,W19,BIKE-ROAD,126
20,W20,BIKE-ROAD,109
21,W21,BIKE-ROAD,95
22,W22,BIKE-ROAD,96
23,W23,BIKE-ROAD,76
24,W24,BIKE-ROAD,94
25,W25,BIKE-ROAD,89
26,W26,BIKE-ROAD,116
27,W27,BIKE-ROAD,137
28,W28,BIKE-ROAD,154
29,W29,BIKE-ROAD,160
30,W30,BIKE-ROAD,157
31,W31,BIKE-ROAD,137
32,W32,BIKE-ROAD,121
33,W33,BIKE-ROAD,114
34,W34,BIKE-ROAD,95
35,W35,BIKE-ROAD,84
36,W36,BIKE-ROAD,90
1,W01,BIKE-KIDS,139
2,W02,BIKE-KIDS,163
3,W03,BIKE-KIDS,157
4,W04,BIKE-KIDS,167
5,W05,BIKE-KIDS,148
6,W06,BIKE-KIDS,158
7,W07,BIKE-KIDS,166
8,W08,BIKE-KIDS,150
9,W09,BIKE-KIDS,163
10,W10,BIKE-KIDS,144
11,W11,BIKE-KIDS,149
12,W12,BIKE-KIDS,244
13,W13,BIKE-KIDS,135
14,W14,BIKE-KIDS,163
15,W15,BIKE-KIDS,147
16,W16,BIKE-KIDS,155
17,W17,BIKE-KIDS,163
18,W18,BIKE-KIDS,163
19,W19,BIKE-KIDS,166
20,W20,BIKE-KIDS,153
21,W21,BIKE-KIDS,148
22,W22,BIKE-KIDS,154
23,W23,BIKE-KIDS,126
24,W24,BIKE-KIDS,130
25,W25,BIKE-KIDS,133
26,W26,BIKE-KIDS,138
27,W27,BIKE-KIDS,162
28,W28,BIKE-KIDS,220
29,W29,BIKE-KIDS,149
30,W30,BIKE-KIDS,177
31,W31,BIKE-KIDS,149
32,W32,BIKE-KIDS,168
33,W33,BIKE-KIDS,139
34,W34,BIKE-KIDS,152
35,W35,BIKE-KIDS,139
36,W36,BIKE-KIDS,149
