Item,Period,MPSQty
BIKE-MTB,1,0
BIKE-MTB,2,0
BIKE-MTB,3,0
BIKE-MTB,4,0
BIKE-MTB,5,0
BIKE-MTB,6,0
BIKE-MTB,7,0
BIKE-MTB,8,0
BIKE-MTB,9,0
BIKE-MTB,10,0
BIKE-MTB,11,0
BIKE-MTB,12,0
BIKE-ROAD,1,0
BIKE-ROAD,2,0
BIKE-ROAD,3,0
BIKE-ROAD,4,0
BIKE-ROAD,5,0
BIKE-ROAD,6,0
BIKE-ROAD,7,0
BIKE-ROAD,8,0
BIKE-ROAD,9,0
BIKE-ROAD,10,0
BIKE-ROAD,11,0
BIKE-ROAD,12,0
BIKE-KIDS,1,0
BIKE-KIDS,2,0
BIKE-KIDS,3,0
BIKE-KIDS,4,0
BIKE-KIDS,5,0
BIKE-KIDS,6,0
BIKE-KIDS,7,0
BIKE-KIDS,8,0
BIKE-KIDS,9,0
BIKE-KIDS,10,0
BIKE-KIDS,11,0
BIKE-KIDS,12,0
