WorkCentre,Period,RequiredHours,AvailableHours,Utilisation,Overloaded,OverloadHours
WC01,1,0.0,144.0,0.0,False,0.0
WC01,2,34.48,144.0,0.2395,False,0.0
WC01,3,46.43,144.0,0.3224,False,0.0
WC01,4,43.32,144.0,0.3008,False,0.0
WC01,5,41.56,144.0,0.2886,False,0.0
WC01,6,55.26,144.0,0.3838,False,0.0
WC01,7,42.11,144.0,0.2924,False,0.0
WC01,8,46.19,144.0,0.3208,False,0.0
WC01,9,44.83,144.0,0.3113,False,0.0
WC01,10,32.0,144.0,0.2222,False,0.0
WC01,11,53.86,144.0,0.374,False,0.0
WC01,12,32.0,144.0,0.2222,False,0.0
WC02,1,0.0,136.0,0.0,False,0.0
WC02,2,67.65,136.0,0.4974,False,0.0
WC02,3,91.06,136.0,0.6696,False,0.0
WC02,4,84.96,136.0,0.6247,False,0.0
WC02,5,81.53,136.0,0.5995,False,0.0
WC02,6,108.37,136.0,0.7969,False,0.0
WC02,7,82.6,136.0,0.6073,False,0.0
WC02,8,90.6,136.0,0.6661,False,0.0
WC02,9,87.93,136.0,0.6465,False,0.0
WC02,10,62.77,136.0,0.4615,False,0.0
WC02,11,105.63,136.0,0.7767,False,0.0
WC02,12,62.77,136.0,0.4615,False,0.0
WC03,1,0.0,45.0,0.0,False,0.0
WC03,2,29.41,45.0,0.6536,False,0.0
WC03,3,37.46,45.0,0.8325,False,0.0
WC03,4,34.67,45.0,0.7705,False,0.0
WC03,5,33.17,45.0,0.7371,False,0.0
WC03,6,44.7,45.0,0.9932,False,0.0
WC03,7,33.82,45.0,0.7515,False,0.0
WC03,8,37.37,45.0,0.8304,False,0.0
WC03,9,36.34,45.0,0.8075,False,0.0
WC03,10,25.4,45.0,0.5644,False,0.0
WC03,11,44.1,45.0,0.98,False,0.0
WC03,12,25.4,45.0,0.5644,False,0.0
WC04,1,0.0,140.8,0.0,False,0.0
WC04,2,83.01,140.8,0.5896,False,0.0
WC04,3,106.52,140.8,0.7566,False,0.0
WC04,4,98.05,140.8,0.6964,False,0.0
WC04,5,93.53,140.8,0.6643,False,0.0
WC04,6,128.12,140.8,0.9099,False,0.0
WC04,7,95.58,140.8,0.6788,False,0.0
WC04,8,106.29,140.8,0.7549,False,0.0
WC04,9,103.26,140.8,0.7334,False,0.0
WC04,10,72.0,140.8,0.5114,False,0.0
WC04,11,126.65,140.8,0.8995,False,0.0
WC04,12,72.0,140.8,0.5114,False,0.0
WC05,1,0.0,144.0,0.0,False,0.0
WC05,2,33.59,144.0,0.2333,False,0.0
WC05,3,44.66,144.0,0.3102,False,0.0
WC05,4,41.52,144.0,0.2883,False,0.0
WC05,5,39.78,144.0,0.2763,False,0.0
WC05,6,53.22,144.0,0.3696,False,0.0
WC05,7,40.42,144.0,0.2807,False,0.0
WC05,8,44.49,144.0,0.3089,False,0.0
WC05,9,43.21,144.0,0.3001,False,0.0
WC05,10,30.74,144.0,0.2135,False,0.0
WC05,11,52.16,144.0,0.3622,False,0.0
WC05,12,30.74,144.0,0.2135,False,0.0
WC06,1,0.0,136.0,0.0,False,0.0
WC06,2,83.4,136.0,0.6132,False,0.0
WC06,3,109.96,136.0,0.8085,False,0.0
WC06,4,101.85,136.0,0.7489,False,0.0
WC06,5,97.43,136.0,0.7164,False,0.0
WC06,6,131.64,136.0,0.9679,False,0.0
WC06,7,99.15,136.0,0.729,False,0.0
WC06,8,109.56,136.0,0.8056,False,0.0
WC06,9,106.39,136.0,0.7822,False,0.0
WC06,10,75.12,136.0,0.5524,False,0.0
WC06,11,129.25,136.0,0.9504,False,0.0
WC06,12,75.12,136.0,0.5524,False,0.0
