Item,Method,Parameters,N,MAD,MSE,RMSE,MAPE,Bias,TrackingSignal
BIKE-KIDS,MA(3),n=3,33,17.32,699.69,26.45,10.53,-0.6,-1.14
BIKE-KIDS,MA(5),n=5,31,16.92,699.5,26.45,10.2,-0.91,-1.67
BIKE-KIDS,WMA(3),weights=0.5/0.3/0.2,33,17.36,728.64,26.99,10.58,-0.53,-1.0
BIKE-KIDS,SES,alpha=0.1,35,15.93,587.97,24.25,9.54,4.18,9.18
BIKE-KIDS,Holt,"alpha=0.5, beta=0.25",35,20.82,925.94,30.43,12.91,-6.08,-10.22
BIKE-KIDS,Holt-Winters,"alpha=0.1, beta=0.05, gamma=0.8",24,18.55,909.35,30.16,11.98,3.89,5.03
BIKE-MTB,MA(3),n=3,33,9.9,135.99,11.66,6.41,3.96,13.2
BIKE-MTB,MA(5),n=5,31,9.37,122.67,11.08,5.84,6.06,20.03
BIKE-MTB,WMA(3),weights=0.5/0.3/0.2,33,9.46,133.23,11.54,6.14,3.38,11.78
BIKE-MTB,SES,alpha=0.45,35,9.52,133.94,11.57,6.29,4.04,14.84
BIKE-MTB,Holt,"alpha=0.4, beta=0.55",35,10.39,180.83,13.45,6.82,2.16,7.29
BIKE-MTB,Holt-Winters,"alpha=0.1, beta=0.05, gamma=0.7",24,11.25,204.38,14.3,6.93,1.31,2.8
BIKE-ROAD,MA(3),n=3,33,21.09,572.96,23.94,19.03,-0.55,-0.85
BIKE-ROAD,MA(5),n=5,31,26.75,890.79,29.85,24.9,-2.54,-2.95
BIKE-ROAD,WMA(3),weights=0.5/0.3/0.2,33,17.95,430.27,20.74,16.23,-0.58,-1.06
BIKE-ROAD,SES,alpha=0.95,35,12.98,220.53,14.85,11.88,0.35,0.95
BIKE-ROAD,Holt,"alpha=0.9, beta=0.6",35,11.19,190.39,13.8,10.22,-0.83,-2.59
BIKE-ROAD,Holt-Winters,"alpha=0.1, beta=0.05, gamma=0.4",24,7.57,78.57,8.86,7.22,0.06,0.19
