Item,Period,Forecast,Method
BIKE-KIDS,1,154,SES
BIKE-KIDS,2,154,SES
BIKE-KIDS,3,154,SES
BIKE-KIDS,4,154,SES
BIKE-KIDS,5,154,SES
BIKE-KIDS,6,154,SES
BIKE-KIDS,7,154,SES
BIKE-KIDS,8,154,SES
BIKE-KIDS,9,154,SES
BIKE-KIDS,10,154,SES
BIKE-KIDS,11,154,SES
BIKE-KIDS,12,154,SES
BIKE-MTB,1,181,MA(5)
BIKE-MTB,2,181,MA(5)
BIKE-MTB,3,181,MA(5)
BIKE-MTB,4,181,MA(5)
BIKE-MTB,5,181,MA(5)
BIKE-MTB,6,181,MA(5)
BIKE-MTB,7,181,MA(5)
BIKE-MTB,8,181,MA(5)
BIKE-MTB,9,181,MA(5)
BIKE-MTB,10,181,MA(5)
BIKE-MTB,11,181,MA(5)
BIKE-MTB,12,181,MA(5)
BIKE-ROAD,1,105,Holt-Winters
BIKE-ROAD,2,123,Holt-Winters
BIKE-ROAD,3,142,Holt-Winters
BIKE-ROAD,4,161,Holt-Winters
BIKE-ROAD,5,164,Holt-Winters
BIKE-ROAD,6,162,Holt-Winters
BIKE-ROAD,7,144,Holt-Winters
BIKE-ROAD,8,131,Holt-Winters
BIKE-ROAD,9,119,Holt-Winters
BIKE-ROAD,10,108,Holt-Winters
BIKE-ROAD,11,100,Holt-Winters
BIKE-ROAD,12,108,Holt-Winters
