Item,LowLevelCode,Period,GrossRequirement,DrivenBy
BIKE-KIDS,0,2,372.0,MPS
BIKE-KIDS,0,3,141.0,MPS
BIKE-KIDS,0,4,68.0,MPS
BIKE-KIDS,0,5,39.0,MPS
BIKE-KIDS,0,6,232.0,MPS
BIKE-KIDS,0,7,78.0,MPS
BIKE-KIDS,0,8,155.0,MPS
BIKE-KIDS,0,9,155.0,MPS
BIKE-KIDS,0,11,310.0,MPS
BIKE-MTB,0,2,42.0,MPS
BIKE-MTB,0,3,181.0,MPS
BIKE-MTB,0,4,181.0,MPS
BIKE-MTB,0,5,181.0,MPS
BIKE-MTB,0,6,181.0,MPS
BIKE-MTB,0,7,181.0,MPS
BIKE-MTB,0,8,181.0,MPS
BIKE-MTB,0,9,181.0,MPS
BIKE-MTB,0,10,181.0,MPS
BIKE-MTB,0,11,181.0,MPS
BIKE-MTB,0,12,181.0,MPS
BIKE-ROAD,0,2,16.0,MPS
BIKE-ROAD,0,3,142.0,MPS
BIKE-ROAD,0,4,161.0,MPS
BIKE-ROAD,0,5,164.0,MPS
BIKE-ROAD,0,6,162.0,MPS
BIKE-ROAD,0,7,144.0,MPS
BIKE-ROAD,0,8,131.0,MPS
BIKE-ROAD,0,9,119.0,MPS
BIKE-ROAD,0,10,108.0,MPS
BIKE-ROAD,0,11,100.0,MPS
BIKE-ROAD,0,12,108.0,MPS
BRAKE-DISC,1,2,42.42,BIKE-MTB(42.42)
BRAKE-DISC,1,3,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,4,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,5,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,6,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,7,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,8,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,9,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,10,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,11,182.83,BIKE-MTB(182.83)
BRAKE-DISC,1,12,182.83,BIKE-MTB(182.83)
BRAKE-RIM,1,2,391.92,BIKE-KIDS(375.76); BIKE-ROAD(16.16)
BRAKE-RIM,1,3,285.86,BIKE-KIDS(142.42); BIKE-ROAD(143.43)
BRAKE-RIM,1,4,231.31,BIKE-KIDS(68.69); BIKE-ROAD(162.63)
BRAKE-RIM,1,5,205.05,BIKE-KIDS(39.39); BIKE-ROAD(165.66)
BRAKE-RIM,1,6,397.98,BIKE-KIDS(234.34); BIKE-ROAD(163.64)
BRAKE-RIM,1,7,224.24,BIKE-KIDS(78.79); BIKE-ROAD(145.45)
BRAKE-RIM,1,8,288.89,BIKE-KIDS(156.57); BIKE-ROAD(132.32)
BRAKE-RIM,1,9,276.77,BIKE-KIDS(156.57); BIKE-ROAD(120.2)
BRAKE-RIM,1,10,109.09,BIKE-ROAD(109.09)
BRAKE-RIM,1,11,414.14,BIKE-KIDS(313.13); BIKE-ROAD(101.01)
BRAKE-RIM,1,12,109.09,BIKE-ROAD(109.09)
DRIVE-14S,1,2,16.16,BIKE-ROAD(16.16)
DRIVE-14S,1,3,143.43,BIKE-ROAD(143.43)
DRIVE-14S,1,4,162.63,BIKE-ROAD(162.63)
DRIVE-14S,1,5,165.66,BIKE-ROAD(165.66)
DRIVE-14S,1,6,163.64,BIKE-ROAD(163.64)
DRIVE-14S,1,7,145.45,BIKE-ROAD(145.45)
