Item,Description,BOMLevel,SourceType,OnHand,AnnualDemand,AvgPeriodDemand,LeadTime,UnitCost,HoldingCostPerUnitYr,OrderingCost,EOQ,SafetyStock_Master,SafetyStock_Statistical,ReorderPoint,LotSizeRule,LotSizeValue,PeriodsOfSupply,InventoryValue,Supplier
BIKE-MTB,"Mountain Bike 26 inch, 21 speed",0,M,530.0,9412.0,181.0,1,210.0,46.2,180.0,271,210.0,18,391,LFL,0.0,2.9,111300.0,-
BIKE-ROAD,"Road Bike 700C, 14 speed",0,M,390.0,6790.3,130.58,1,265.0,58.3,180.0,205,160.0,15,291,LFL,0.0,3.0,103350.0,-
BIKE-KIDS,"Kids Bike 20 inch, single speed",0,M,550.0,8008.0,154.0,1,95.0,20.9,180.0,371,220.0,40,374,FOQ,310.0,3.6,52250.0,-
FRAME-MTB,"Frame assembly, MTB, painted",1,M,610.0,9507.1,182.83,2,62.0,13.64,180.0,501,270.0,107,636,LFL,0.0,3.3,37820.0,-
FRAME-ROAD,"Frame assembly, Road, painted",1,M,180.0,6858.9,131.9,2,78.0,17.16,180.0,379,170.0,77,434,LFL,0.0,1.4,14040.0,-
FRAME-KIDS,"Frame assembly, Kids, painted",1,M,600.0,8088.9,155.56,2,28.0,6.16,180.0,688,250.0,91,561,FOQ,320.0,3.9,16800.0,-
WHEEL-26,Wheel assembly 26 inch,1,M,1150.0,19014.1,365.66,1,24.0,5.28,180.0,1139,470.0,151,836,LFL,0.0,3.1,27600.0,-
WHEEL-700C,Wheel assembly 700C,1,M,730.0,13717.9,263.8,1,29.0,6.38,180.0,880,320.0,109,584,LFL,0.0,2.8,21170.0,-
WHEEL-20,Wheel assembly 20 inch,1,M,1150.0,16177.8,311.11,1,14.0,3.08,180.0,1375,470.0,128,781,FOQ,630.0,3.7,16100.0,-
DRIVE-21S,Drivetrain 21 speed,1,M,560.0,9507.1,182.83,1,41.0,9.02,180.0,616,230.0,75,413,LFL,0.0,3.1,22960.0,-
DRIVE-14S,Drivetrain 14 speed,1,M,400.0,6858.9,131.9,1,47.0,10.34,180.0,489,170.0,54,302,LFL,0.0,3.0,18800.0,-
DRIVE-SS,Drivetrain single speed,1,M,580.0,8088.9,155.56,1,16.0,3.52,180.0,910,240.0,64,396,EOQ,0.0,3.7,9280.0,-
BRAKE-DISC,Disc brake set (F+R),1,P,750.0,9507.1,182.83,3,22.0,4.84,250.0,991,360.0,131,908,FOQ,450.0,4.1,16500.0,SUP-01
BRAKE-RIM,Rim brake set (F+R),1,P,1100.0,14947.8,287.46,2,9.5,2.09,250.0,1891,500.0,168,1075,FOQ,700.0,3.8,10450.0,SUP-01
SADDLE-ASSY,Saddle with seatpost,1,P,1850.0,24454.9,470.29,2,7.8,1.716,250.0,2669,830.0,274,1771,EOQ,0.0,3.9,14430.0,SUP-02
TUBESET-MTB,"Cut & mitered tube set, MTB",2,M,550.0,9701.1,186.56,1,23.0,5.06,180.0,831,220.0,77,407,LFL,0.0,2.9,12650.0,-
TUBESET-ROAD,"Cut & mitered tube set, Road",2,M,360.0,6998.9,134.59,1,31.0,6.82,180.0,608,150.0,56,285,LFL,0.0,2.7,11160.0,-
TUBESET-KIDS,"Cut & mitered tube set, Kids",2,M,550.0,8254.0,158.73,1,9.0,1.98,180.0,1225,230.0,65,389,FOQ,320.0,3.5,4950.0,-
RIM-26,Alloy rim 26 inch,2,P,1600.0,19206.2,369.35,3,6.2,1.364,250.0,2653,800.0,264,1908,FOQ,910.0,4.3,9920.0,SUP-03
RIM-700C,Alloy rim 700C,2,P,1000.0,13856.4,266.47,3,7.4,1.628,250.0,2063,520.0,190,1319,FOQ,620.0,3.8,7400.0,SUP-03
RIM-20,Steel rim 20 inch,2,P,1300.0,16341.2,314.25,2,3.1,0.682,250.0,3461,610.0,183,1239,FOQ,800.0,4.1,4030.0,SUP-03
HUB-STD,Standard hub (shared),2,P,4650.0,49403.8,950.07,4,4.5,0.99,250.0,4995,2400.0,784,6200,EOQ,0.0,4.9,20925.0,SUP-04
SPOKE,Stainless spoke (shared),2,P,130500.0,1546805.5,29746.26,2,0.09,0.02,250.0,197638,58000.0,17353,117493,FOQ,87000.0,4.4,11745.0,SUP-04
TYRE-26,Tyre 26x2.10,2,P,1900.0,19206.2,369.35,4,5.6,1.232,250.0,2792,940.0,305,2417,FOQ,910.0,5.1,10640.0,SUP-05
TYRE-700C,Tyre 700x25C,2,P,450.0,13856.4,266.47,4,6.9,1.518,250.0,2136,590.0,220,1656,FOQ,620.0,1.7,3105.0,SUP-05
TYRE-20,Tyre 20x1.75,2,P,1350.0,16341.2,314.25,3,3.4,0.748,250.0,3305,640.0,225,1583,FOQ,800.0,4.3,4590.0,SUP-05
CHAIN,Chain (shared),2,P,1850.0,24701.9,475.04,2,4.1,0.902,250.0,3700,840.0,277,1790,EOQ,0.0,3.9,7585.0,SUP-02
CRANKSET,Crankset (shared),2,P,2050.0,24701.9,475.04,3,9.8,2.156,250.0,2393,980.0,339,2405,FOQ,1150.0,4.3,20090.0,SUP-02
DERAILLEUR,Rear derailleur (shared),2,P,610.0,16531.3,317.91,5,12.5,2.75,250.0,1734,850.0,293,2440,FOQ,910.0,1.9,7625.0,SUP-06
ALU-TUBE-STK,Aluminium tube stock (metre),3,P,7150.0,77595.2,1492.22,4,1.8,0.396,250.0,9898,3700.0,1231,9669,FOQ,4300.0,4.8,12870.0,SUP-07
STL-TUBE-STK,Steel tube stock (metre),3,P,2700.0,29854.8,574.13,3,0.95,0.209,250.0,8451,1300.0,410,3022,FOQ,1750.0,4.7,2565.0,SUP-07
PAINT-PWD,Powder coat paint (kg),3,P,610.0,7797.2,149.95,2,6.4,1.408,250.0,1664,290.0,87,590,EOQ,0.0,4.1,3904.0,SUP-08
