Item,Period,Opening,Receipts,Demand,Closing,OnOrder,SafetyStock,ReorderPoint,OrderPlaced,BelowSafety,Stockout
BIKE-MTB,1,530.0,0.0,181.0,349.0,42.0,210.0,391.0,42.0,False,False
BIKE-MTB,2,349.0,42.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,3,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,4,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,5,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,6,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,7,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,8,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,9,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,10,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,11,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-MTB,12,210.0,181.0,181.0,210.0,181.0,210.0,391.0,181.0,False,False
BIKE-ROAD,1,390.0,0.0,123.0,267.0,24.0,160.0,291.0,24.0,False,False
BIKE-ROAD,2,267.0,24.0,123.0,168.0,123.0,160.0,291.0,123.0,False,False
BIKE-ROAD,3,168.0,123.0,142.0,149.0,142.0,160.0,291.0,142.0,True,False
BIKE-ROAD,4,149.0,142.0,161.0,130.0,161.0,160.0,291.0,161.0,True,False
BIKE-ROAD,5,130.0,161.0,164.0,127.0,164.0,160.0,291.0,164.0,True,False
BIKE-ROAD,6,127.0,164.0,162.0,129.0,162.0,160.0,291.0,162.0,True,False
BIKE-ROAD,7,129.0,162.0,144.0,147.0,144.0,160.0,291.0,144.0,True,False
BIKE-ROAD,8,147.0,144.0,131.0,160.0,131.0,160.0,291.0,131.0,False,False
BIKE-ROAD,9,160.0,131.0,119.0,172.0,119.0,160.0,291.0,119.0,False,False
BIKE-ROAD,10,172.0,119.0,108.0,183.0,108.0,160.0,291.0,108.0,False,False
BIKE-ROAD,11,183.0,108.0,100.0,191.0,100.0,160.0,291.0,100.0,False,False
BIKE-ROAD,12,191.0,100.0,108.0,183.0,108.0,160.0,291.0,108.0,False,False
BIKE-KIDS,1,550.0,0.0,154.0,396.0,0.0,220.0,374.0,0.0,False,False
BIKE-KIDS,2,396.0,0.0,154.0,242.0,310.0,220.0,374.0,310.0,False,False
BIKE-KIDS,3,242.0,310.0,154.0,398.0,0.0,220.0,374.0,0.0,False,False
BIKE-KIDS,4,398.0,0.0,154.0,244.0,310.0,220.0,374.0,310.0,False,False
BIKE-KIDS,5,244.0,310.0,154.0,400.0,0.0,220.0,374.0,0.0,False,False
BIKE-KIDS,6,400.0,0.0,154.0,246.0,310.0,220.0,374.0,310.0,False,False
BIKE-KIDS,7,246.0,310.0,154.0,402.0,0.0,220.0,374.0,0.0,False,False
BIKE-KIDS,8,402.0,0.0,154.0,248.0,310.0,220.0,374.0,310.0,False,False
BIKE-KIDS,9,248.0,310.0,154.0,404.0,0.0,220.0,374.0,0.0,False,False
BIKE-KIDS,10,404.0,0.0,154.0,250.0,310.0,220.0,374.0,310.0,False,False
BIKE-KIDS,11,250.0,310.0,154.0,406.0,0.0,220.0,374.0,0.0,False,False
BIKE-KIDS,12,406.0,0.0,154.0,252.0,310.0,220.0,374.0,310.0,False,False
FRAME-MTB,1,610.0,0.0,182.83,427.17,208.83,270.0,636.0,208.83,False,False
FRAME-MTB,2,427.17,0.0,182.83,244.34,391.66,270.0,636.0,182.83,True,False
FRAME-MTB,3,244.34,208.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,4,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,5,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,6,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,7,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,8,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,9,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,10,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
