JobID,Item,Quantity,ReleasePeriod,DuePeriod,Operations,TotalProcessHrs
PO-0001,BIKE-KIDS,310.0,1,2,1,56.25
PO-0002,FRAME-ROAD,79.899,1,3,2,26.319
PO-0003,TUBESET-ROAD,40.567,1,2,1,5.062
PO-0004,FRAME-ROAD,165.657,2,4,2,52.476
PO-0005,TUBESET-KIDS,320.0,2,3,1,22.8
PO-0006,TUBESET-ROAD,166.976,2,3,1,18.967
PO-0007,BIKE-MTB,84.0,3,4,1,21.6
PO-0008,BIKE-ROAD,89.0,3,4,1,24.235
PO-0010,FRAME-KIDS,320.0,3,5,2,65.4
PO-0011,FRAME-MTB,110.505,3,5,2,32.691
PO-0012,FRAME-ROAD,163.636,3,5,2,51.859
PO-0014,TUBESET-ROAD,148.423,3,4,1,16.927
PO-0015,BIKE-MTB,181.0,4,5,1,45.85
PO-0016,BIKE-ROAD,164.0,4,5,1,44.11
PO-0019,DRIVE-SS,910.0,4,5,1,64.05
PO-0020,FRAME-MTB,182.828,4,6,2,52.942
PO-0021,FRAME-ROAD,145.455,4,6,2,46.31400000000001
PO-0022,WHEEL-20,630.0,4,5,1,57.0
PO-0023,WHEEL-26,221.01,4,5,1,26.921
PO-0025,TUBESET-KIDS,320.0,4,5,1,22.8
PO-0026,TUBESET-MTB,155.879,4,5,1,16.088
PO-0027,TUBESET-ROAD,135.024,4,5,1,15.453
PO-0028,BIKE-KIDS,310.0,5,6,1,56.25
PO-0029,BIKE-MTB,181.0,5,6,1,45.85
PO-0030,BIKE-ROAD,162.0,5,6,1,43.58
PO-0033,FRAME-KIDS,320.0,5,7,2,65.4
PO-0034,FRAME-MTB,182.828,5,7,2,52.942
PO-0035,FRAME-ROAD,132.323,5,7,2,42.308
PO-0036,WHEEL-26,365.657,5,6,1,44.279
PO-0038,TUBESET-MTB,186.559,5,6,1,19.156
PO-0039,TUBESET-ROAD,122.655,5,6,1,14.092
PO-0040,BIKE-MTB,181.0,6,7,1,45.85
PO-0041,BIKE-ROAD,144.0,6,7,1,38.81
PO-0044,FRAME-MTB,182.828,6,8,2,52.942
PO-0045,FRAME-ROAD,120.202,6,8,2,38.611
PO-0046,WHEEL-20,630.0,6,7,1,57.0
PO-0047,WHEEL-26,365.657,6,7,1,44.279
PO-0049,TUBESET-MTB,186.559,6,7,1,19.156
PO-0050,TUBESET-ROAD,111.317,6,7,1,12.845
PO-0051,BIKE-KIDS,310.0,7,8,1,56.25
PO-0052,BIKE-MTB,181.0,7,8,1,45.85
PO-0053,BIKE-ROAD,131.0,7,8,1,35.365
PO-0056,FRAME-MTB,182.828,7,9,2,52.942
PO-0057,FRAME-ROAD,109.091,7,9,2,35.223
PO-0058,WHEEL-26,365.657,7,8,1,44.279
PO-0060,TUBESET-KIDS,320.0,7,8,1,22.8
PO-0061,TUBESET-MTB,186.559,7,8,1,19.156
PO-0062,TUBESET-ROAD,103.072,7,8,1,11.938
PO-0063,BIKE-MTB,181.0,8,9,1,45.85
PO-0064,BIKE-ROAD,119.0,8,9,1,32.185
PO-0067,FRAME-KIDS,320.0,8,10,2,65.4
PO-0068,FRAME-MTB,182.828,8,10,2,52.942
PO-0069,FRAME-ROAD,101.01,8,10,2,32.758
PO-0070,WHEEL-26,365.657,8,9,1,44.279
PO-0072,TUBESET-MTB,186.559,8,9,1,19.156
PO-0073,TUBESET-ROAD,111.317,8,9,1,12.845
