JobID,Item,Quantity,Arrival,DueHrs,Completion,FlowTime,ProcessTime,WaitingTime,Lateness,Tardiness,OnTime,Rule
PO-0003,TUBESET-ROAD,40.567,0.0,80.0,5.62,5.62,5.62,0.0,-74.38,0.0,True,FCFS
PO-0002,FRAME-ROAD,79.899,0.0,160.0,35.5,35.5,35.5,0.0,-124.5,0.0,True,FCFS
PO-0001,BIKE-KIDS,310.0,0.0,80.0,66.18,66.18,66.18,0.0,-13.82,0.0,True,FCFS
PO-0006,TUBESET-ROAD,166.976,80.0,160.0,101.07,21.07,21.07,0.0,-58.93,0.0,True,FCFS
PO-0005,TUBESET-KIDS,320.0,80.0,160.0,105.33,25.33,25.33,0.0,-54.67,0.0,True,FCFS
PO-0004,FRAME-ROAD,165.657,80.0,240.0,150.65,70.65,70.65,0.0,-89.35,0.0,True,FCFS
PO-0014,TUBESET-ROAD,148.423,160.0,240.0,178.81,18.81,18.81,0.0,-61.19,0.0,True,FCFS
PO-0007,BIKE-MTB,84.0,160.0,240.0,185.41,25.41,25.41,0.0,-54.59,0.0,True,FCFS
PO-0008,BIKE-ROAD,89.0,160.0,240.0,188.51,28.51,28.51,0.0,-51.49,0.0,True,FCFS
PO-0011,FRAME-MTB,110.505,160.0,320.0,204.23,44.23,44.23,0.0,-115.77,0.0,True,FCFS
PO-0010,FRAME-KIDS,320.0,160.0,320.0,248.85,88.85,88.85,0.0,-71.15,0.0,True,FCFS
PO-0026,TUBESET-MTB,155.879,240.0,320.0,257.88,17.88,17.88,0.0,-62.12,0.0,True,FCFS
PO-0025,TUBESET-KIDS,320.0,240.0,320.0,265.33,25.33,25.33,0.0,-54.67,0.0,True,FCFS
PO-0023,WHEEL-26,221.01,240.0,320.0,270.59,30.59,30.59,0.0,-49.41,0.0,True,FCFS
PO-0012,FRAME-ROAD,163.636,160.0,320.0,274.91,114.91,69.82,45.08,-45.09,0.0,True,FCFS
PO-0027,TUBESET-ROAD,135.024,240.0,320.0,275.05,35.05,17.17,17.88,-44.95,0.0,True,FCFS
PO-0016,BIKE-ROAD,164.0,240.0,320.0,291.89,51.89,51.89,0.0,-28.11,0.0,True,FCFS
PO-0015,BIKE-MTB,181.0,240.0,320.0,293.94,53.94,53.94,0.0,-26.06,0.0,True,FCFS
PO-0021,FRAME-ROAD,145.455,240.0,400.0,302.37,62.37,62.37,0.0,-97.63,0.0,True,FCFS
PO-0022,WHEEL-20,630.0,240.0,320.0,304.77,64.77,64.77,0.0,-15.23,0.0,True,FCFS
PO-0019,DRIVE-SS,910.0,240.0,320.0,311.17,71.17,71.17,0.0,-8.83,0.0,True,FCFS
PO-0020,FRAME-MTB,182.828,240.0,400.0,329.71,89.71,71.53,18.18,-70.29,0.0,True,FCFS
PO-0039,TUBESET-ROAD,122.655,320.0,400.0,335.66,15.66,15.66,0.0,-64.34,0.0,True,FCFS
PO-0038,TUBESET-MTB,186.559,320.0,400.0,341.28,21.28,21.28,0.0,-58.72,0.0,True,FCFS
PO-0036,WHEEL-26,365.657,320.0,400.0,370.32,50.32,50.32,0.0,-29.68,0.0,True,FCFS
PO-0029,BIKE-MTB,181.0,320.0,400.0,373.94,53.94,53.94,0.0,-26.06,0.0,True,FCFS
PO-0028,BIKE-KIDS,310.0,320.0,400.0,386.18,66.18,66.18,0.0,-13.82,0.0,True,FCFS
PO-0034,FRAME-MTB,182.828,320.0,480.0,391.53,71.53,71.53,0.0,-88.47,0.0,True,FCFS
PO-0050,TUBESET-ROAD,111.317,400.0,480.0,414.27,14.27,14.27,0.0,-65.73,0.0,True,FCFS
PO-0049,TUBESET-MTB,186.559,400.0,480.0,421.28,21.28,21.28,0.0,-58.72,0.0,True,FCFS
PO-0030,BIKE-ROAD,162.0,320.0,400.0,425.21,105.21,51.27,53.94,25.21,25.21,False,FCFS
PO-0033,FRAME-KIDS,320.0,320.0,480.0,426.73,106.73,88.85,17.88,-53.27,0.0,True,FCFS
