Item,Period,Forecast,CustomerOrders,GrossDemand,OpeningPAB,MPSQty,PAB,SafetyStock,BelowSafety,NegativePAB,ATP
BIKE-KIDS,1,154.0,152.0,154.0,550.0,0.0,396.0,220.0,False,False,398.0
BIKE-KIDS,2,154.0,140.0,154.0,396.0,372.0,614.0,220.0,False,False,132.0
BIKE-KIDS,3,154.0,128.0,154.0,614.0,141.0,601.0,220.0,False,False,0.0
BIKE-KIDS,4,154.0,116.0,154.0,601.0,68.0,515.0,220.0,False,False,0.0
BIKE-KIDS,5,154.0,104.0,154.0,515.0,39.0,400.0,220.0,False,False,0.0
BIKE-KIDS,6,154.0,91.0,154.0,400.0,232.0,478.0,220.0,False,False,139.0
BIKE-KIDS,7,154.0,80.0,154.0,478.0,78.0,402.0,220.0,False,False,0.0
BIKE-KIDS,8,154.0,68.0,154.0,402.0,155.0,403.0,220.0,False,False,87.0
BIKE-KIDS,9,154.0,56.0,154.0,403.0,155.0,404.0,220.0,False,False,55.0
BIKE-KIDS,10,154.0,44.0,154.0,404.0,0.0,250.0,220.0,False,False,0.0
BIKE-KIDS,11,154.0,31.0,154.0,250.0,310.0,406.0,220.0,False,False,259.0
BIKE-KIDS,12,154.0,20.0,154.0,406.0,0.0,252.0,220.0,False,False,0.0
BIKE-MTB,1,181.0,166.0,181.0,530.0,0.0,349.0,210.0,False,False,253.0
BIKE-MTB,2,181.0,153.0,181.0,349.0,42.0,210.0,210.0,False,False,0.0
BIKE-MTB,3,181.0,140.0,181.0,210.0,181.0,210.0,210.0,False,False,41.0
BIKE-MTB,4,181.0,127.0,181.0,210.0,181.0,210.0,210.0,False,False,54.0
BIKE-MTB,5,181.0,114.0,181.0,210.0,181.0,210.0,210.0,False,False,67.0
BIKE-MTB,6,181.0,101.0,181.0,210.0,181.0,210.0,210.0,False,False,80.0
BIKE-MTB,7,181.0,88.0,181.0,210.0,181.0,210.0,210.0,False,False,93.0
BIKE-MTB,8,181.0,74.0,181.0,210.0,181.0,210.0,210.0,False,False,107.0
BIKE-MTB,9,181.0,62.0,181.0,210.0,181.0,210.0,210.0,False,False,119.0
BIKE-MTB,10,181.0,48.0,181.0,210.0,181.0,210.0,210.0,False,False,133.0
BIKE-MTB,11,181.0,35.0,181.0,210.0,181.0,210.0,210.0,False,False,146.0
BIKE-MTB,12,181.0,22.0,181.0,210.0,181.0,210.0,210.0,False,False,159.0
BIKE-ROAD,1,105.0,123.0,123.0,390.0,0.0,267.0,160.0,False,False,169.0
BIKE-ROAD,2,123.0,114.0,123.0,267.0,16.0,160.0,160.0,False,False,0.0
BIKE-ROAD,3,142.0,104.0,142.0,160.0,142.0,160.0,160.0,False,False,38.0
BIKE-ROAD,4,161.0,94.0,161.0,160.0,161.0,160.0,160.0,False,False,67.0
BIKE-ROAD,5,164.0,85.0,164.0,160.0,164.0,160.0,160.0,False,False,79.0
BIKE-ROAD,6,162.0,75.0,162.0,160.0,162.0,160.0,160.0,False,False,87.0
BIKE-ROAD,7,144.0,66.0,144.0,160.0,144.0,160.0,160.0,False,False,78.0
BIKE-ROAD,8,131.0,55.0,131.0,160.0,131.0,160.0,160.0,False,False,76.0
BIKE-ROAD,9,119.0,46.0,119.0,160.0,119.0,160.0,160.0,False,False,73.0
BIKE-ROAD,10,108.0,35.0,108.0,160.0,108.0,160.0,160.0,False,False,73.0
BIKE-ROAD,11,100.0,26.0,100.0,160.0,100.0,160.0,160.0,False,False,74.0
BIKE-ROAD,12,108.0,16.0,108.0,160.0,108.0,160.0,160.0,False,False,92.0
