Item,LowLevelCode,SourceType,Week,GR,SR,PAB,NR,PORcpt,PORel
BIKE-KIDS,0,M,1,0.0,0.0,550.0,0.0,0.0,310.0
BIKE-KIDS,0,M,2,372.0,0.0,488.0,42.0,310.0,0.0
BIKE-KIDS,0,M,3,141.0,0.0,347.0,0.0,0.0,0.0
BIKE-KIDS,0,M,4,68.0,0.0,279.0,0.0,0.0,0.0
BIKE-KIDS,0,M,5,39.0,0.0,240.0,0.0,0.0,310.0
BIKE-KIDS,0,M,6,232.0,0.0,318.0,212.0,310.0,0.0
BIKE-KIDS,0,M,7,78.0,0.0,240.0,0.0,0.0,310.0
BIKE-KIDS,0,M,8,155.0,0.0,395.0,135.0,310.0,0.0
BIKE-KIDS,0,M,9,155.0,0.0,240.0,0.0,0.0,0.0
BIKE-KIDS,0,M,10,0.0,0.0,240.0,0.0,0.0,310.0
BIKE-KIDS,0,M,11,310.0,0.0,240.0,290.0,310.0,0.0
BIKE-KIDS,0,M,12,0.0,0.0,240.0,0.0,0.0,0.0
BIKE-MTB,0,M,1,0.0,0.0,530.0,0.0,0.0,0.0
BIKE-MTB,0,M,2,42.0,0.0,488.0,0.0,0.0,0.0
BIKE-MTB,0,M,3,181.0,0.0,307.0,0.0,0.0,84.0
BIKE-MTB,0,M,4,181.0,0.0,210.0,84.0,84.0,181.0
BIKE-MTB,0,M,5,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,6,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,7,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,8,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,9,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,10,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,11,181.0,0.0,210.0,181.0,181.0,181.0
BIKE-MTB,0,M,12,181.0,0.0,210.0,181.0,181.0,0.0
BIKE-ROAD,0,M,1,0.0,0.0,390.0,0.0,0.0,0.0
BIKE-ROAD,0,M,2,16.0,0.0,374.0,0.0,0.0,0.0
BIKE-ROAD,0,M,3,142.0,0.0,232.0,0.0,0.0,89.0
BIKE-ROAD,0,M,4,161.0,0.0,160.0,89.0,89.0,164.0
BIKE-ROAD,0,M,5,164.0,0.0,160.0,164.0,164.0,162.0
BIKE-ROAD,0,M,6,162.0,0.0,160.0,162.0,162.0,144.0
BIKE-ROAD,0,M,7,144.0,0.0,160.0,144.0,144.0,131.0
BIKE-ROAD,0,M,8,131.0,0.0,160.0,131.0,131.0,119.0
BIKE-ROAD,0,M,9,119.0,0.0,160.0,119.0,119.0,108.0
BIKE-ROAD,0,M,10,108.0,0.0,160.0,108.0,108.0,100.0
BIKE-ROAD,0,M,11,100.0,0.0,160.0,100.0,100.0,108.0
BIKE-ROAD,0,M,12,108.0,0.0,160.0,108.0,108.0,0.0
BRAKE-DISC,1,P,1,0.0,0.0,750.0,0.0,0.0,0.0
BRAKE-DISC,1,P,2,0.0,0.0,750.0,0.0,0.0,450.0
BRAKE-DISC,1,P,3,84.848,0.0,665.152,0.0,0.0,0.0
BRAKE-DISC,1,P,4,182.828,0.0,482.323,0.0,0.0,0.0
BRAKE-DISC,1,P,5,182.828,0.0,749.495,60.505,450.0,450.0
BRAKE-DISC,1,P,6,182.828,0.0,566.667,0.0,0.0,0.0
BRAKE-DISC,1,P,7,182.828,0.0,383.838,0.0,0.0,450.0
BRAKE-DISC,1,P,8,182.828,0.0,651.01,158.99,450.0,0.0
BRAKE-DISC,1,P,9,182.828,0.0,468.182,0.0,0.0,0.0
BRAKE-DISC,1,P,10,182.828,0.0,735.354,74.646,450.0,0.0
BRAKE-DISC,1,P,11,182.828,0.0,552.525,0.0,0.0,0.0
BRAKE-DISC,1,P,12,0.0,0.0,552.525,0.0,0.0,0.0
BRAKE-RIM,1,P,1,313.131,0.0,786.869,0.0,0.0,0.0
BRAKE-RIM,1,P,2,0.0,0.0,786.869,0.0,0.0,0.0
BRAKE-RIM,1,P,3,89.899,0.0,696.97,0.0,0.0,700.0
BRAKE-RIM,1,P,4,165.657,0.0,531.313,0.0,0.0,0.0
BRAKE-RIM,1,P,5,476.768,0.0,754.545,445.455,700.0,700.0
BRAKE-RIM,1,P,6,145.455,0.0,609.091,0.0,0.0,0.0
BRAKE-RIM,1,P,7,445.455,0.0,863.636,336.364,700.0,0.0
BRAKE-RIM,1,P,8,120.202,0.0,743.434,0.0,0.0,700.0
BRAKE-RIM,1,P,9,109.091,0.0,634.343,0.0,0.0,0.0
BRAKE-RIM,1,P,10,414.141,0.0,920.202,279.798,700.0,0.0
BRAKE-RIM,1,P,11,109.091,0.0,811.111,0.0,0.0,0.0
BRAKE-RIM,1,P,12,0.0,0.0,811.111,0.0,0.0,0.0
DRIVE-14S,1,M,1,0.0,0.0,400.0,0.0,0.0,0.0
DRIVE-14S,1,M,2,0.0,0.0,400.0,0.0,0.0,0.0
DRIVE-14S,1,M,3,89.899,0.0,310.101,0.0,0.0,25.556
DRIVE-14S,1,M,4,165.657,0.0,170.0,25.556,25.556,163.636
DRIVE-14S,1,M,5,163.636,0.0,170.0,163.636,163.636,145.455
DRIVE-14S,1,M,6,145.455,0.0,170.0,145.455,145.455,132.323
DRIVE-14S,1,M,7,132.323,0.0,170.0,132.323,132.323,120.202
DRIVE-14S,1,M,8,120.202,0.0,170.0,120.202,120.202,109.091
DRIVE-14S,1,M,9,109.091,0.0,170.0,109.091,109.091,101.01
DRIVE-14S,1,M,10,101.01,0.0,170.0,101.01,101.01,109.091
DRIVE-14S,1,M,11,109.091,0.0,170.0,109.091,109.091,0.0
DRIVE-14S,1,M,12,0.0,0.0,170.0,0.0,0.0,0.0
DRIVE-21S,1,M,1,0.0,0.0,560.0,0.0,0.0,0.0
DRIVE-21S,1,M,2,0.0,0.0,560.0,0.0,0.0,0.0
DRIVE-21S,1,M,3,84.848,0.0,475.152,0.0,0.0,0.0
DRIVE-21S,1,M,4,182.828,0.0,292.323,0.0,0.0,120.505
DRIVE-21S,1,M,5,182.828,0.0,230.0,120.505,120.505,182.828
DRIVE-21S,1,M,6,182.828,0.0,230.0,182.828,182.828,182.828
DRIVE-21S,1,M,7,182.828,0.0,230.0,182.828,182.828,182.828
DRIVE-21S,1,M,8,182.828,0.0,230.0,182.828,182.828,182.828
DRIVE-21S,1,M,9,182.828,0.0,230.0,182.828,182.828,182.828
DRIVE-21S,1,M,10,182.828,0.0,230.0,182.828,182.828,182.828
DRIVE-21S,1,M,11,182.828,0.0,230.0,182.828,182.828,0.0
DRIVE-21S,1,M,12,0.0,0.0,230.0,0.0,0.0,0.0
DRIVE-SS,1,M,1,313.131,0.0,266.869,0.0,0.0,0.0
DRIVE-SS,1,M,2,0.0,0.0,266.869,0.0,0.0,0.0
DRIVE-SS,1,M,3,0.0,0.0,266.869,0.0,0.0,0.0
DRIVE-SS,1,M,4,0.0,0.0,266.869,0.0,0.0,910.0
DRIVE-SS,1,M,5,313.131,0.0,863.737,286.263,910.0,0.0
DRIVE-SS,1,M,6,0.0,0.0,863.737,0.0,0.0,0.0
DRIVE-SS,1,M,7,313.131,0.0,550.606,0.0,0.0,0.0
DRIVE-SS,1,M,8,0.0,0.0,550.606,0.0,0.0,0.0
DRIVE-SS,1,M,9,0.0,0.0,550.606,0.0,0.0,910.0
DRIVE-SS,1,M,10,313.131,0.0,1147.475,2.525,910.0,0.0
DRIVE-SS,1,M,11,0.0,0.0,1147.475,0.0,0.0,0.0
DRIVE-SS,1,M,12,0.0,0.0,1147.475,0.0,0.0,0.0
FRAME-KIDS,1,M,1,313.131,0.0,286.869,0.0,0.0,0.0
FRAME-KIDS,1,M,2,0.0,0.0,286.869,0.0,0.0,0.0
FRAME-KIDS,1,M,3,0.0,0.0,286.869,0.0,0.0,320.0
FRAME-KIDS,1,M,4,0.0,0.0,286.869,0.0,0.0,0.0
FRAME-KIDS,1,M,5,313.131,0.0,293.737,276.263,320.0,320.0
FRAME-KIDS,1,M,6,0.0,0.0,293.737,0.0,0.0,0.0
FRAME-KIDS,1,M,7,313.131,0.0,300.606,269.394,320.0,0.0
FRAME-KIDS,1,M,8,0.0,0.0,300.606,0.0,0.0,320.0
FRAME-KIDS,1,M,9,0.0,0.0,300.606,0.0,0.0,0.0
FRAME-KIDS,1,M,10,313.131,0.0,307.475,262.525,320.0,0.0
FRAME-KIDS,1,M,11,0.0,0.0,307.475,0.0,0.0,0.0
FRAME-KIDS,1,M,12,0.0,0.0,307.475,0.0,0.0,0.0
FRAME-MTB,1,M,1,0.0,0.0,610.0,0.0,0.0,0.0
FRAME-MTB,1,M,2,0.0,0.0,610.0,0.0,0.0,0.0
FRAME-MTB,1,M,3,84.848,0.0,525.152,0.0,0.0,110.505
FRAME-MTB,1,M,4,182.828,0.0,342.323,0.0,0.0,182.828
FRAME-MTB,1,M,5,182.828,0.0,270.0,110.505,110.505,182.828
FRAME-MTB,1,M,6,182.828,0.0,270.0,182.828,182.828,182.828
FRAME-MTB,1,M,7,182.828,0.0,270.0,182.828,182.828,182.828
FRAME-MTB,1,M,8,182.828,0.0,270.0,182.828,182.828,182.828
FRAME-MTB,1,M,9,182.828,0.0,270.0,182.828,182.828,182.828
FRAME-MTB,1,M,10,182.828,0.0,270.0,182.828,182.828,0.0
FRAME-MTB,1,M,11,182.828,0.0,270.0,182.828,182.828,0.0
FRAME-MTB,1,M,12,0.0,0.0,270.0,0.0,0.0,0.0
FRAME-ROAD,1,M,1,0.0,0.0,180.0,0.0,0.0,79.899
FRAME-ROAD,1,M,2,0.0,0.0,180.0,0.0,0.0,165.657
FRAME-ROAD,1,M,3,89.899,0.0,170.0,79.899,79.899,163.636
FRAME-ROAD,1,M,4,165.657,0.0,170.0,165.657,165.657,145.455
