Item,LowLevelCode,SourceType,ReleasePeriod,DuePeriod,Quantity,LeadTime,LotSizeRule,LateRelease,Supplier
BIKE-KIDS,0,M,1,2,310.0,1,FOQ (310 units),False,-
FRAME-ROAD,1,M,1,3,79.899,2,Lot-for-Lot,False,-
CRANKSET,2,P,1,4,1150.0,3,"FOQ (1,150 units)",False,SUP-02
DERAILLEUR,2,P,1,1,910.0,5,FOQ (910 units),True,SUP-06
DERAILLEUR,2,P,1,6,910.0,5,FOQ (910 units),False,SUP-06
TUBESET-ROAD,2,M,1,2,40.567,1,Lot-for-Lot,False,-
TYRE-700C,2,P,1,1,620.0,4,FOQ (620 units),True,SUP-05
TYRE-700C,2,P,1,5,620.0,4,FOQ (620 units),False,SUP-05
ALU-TUBE-STK,3,P,1,5,4300.0,4,"FOQ (4,300 units)",False,SUP-07
STL-TUBE-STK,3,P,1,4,1750.0,3,"FOQ (1,750 units)",False,SUP-07
BRAKE-DISC,1,P,2,5,450.0,3,FOQ (450 units),False,SUP-01
FRAME-ROAD,1,M,2,4,165.657,2,Lot-for-Lot,False,-
CHAIN,2,P,2,4,3700.0,2,"EOQ (3,700 units)",False,SUP-02
HUB-STD,2,P,2,6,4995.0,4,"EOQ (4,995 units)",False,SUP-04
PAINT-PWD,2,P,2,4,1664.0,2,"EOQ (1,664 units)",False,SUP-08
RIM-700C,2,P,2,5,620.0,3,FOQ (620 units),False,SUP-03
TUBESET-KIDS,2,M,2,3,320.0,1,FOQ (320 units),False,-
TUBESET-ROAD,2,M,2,3,166.976,1,Lot-for-Lot,False,-
TYRE-26,2,P,2,6,910.0,4,FOQ (910 units),False,SUP-05
BIKE-MTB,0,M,3,4,84.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,3,4,89.0,1,Lot-for-Lot,False,-
BRAKE-RIM,1,P,3,5,700.0,2,FOQ (700 units),False,SUP-01
DRIVE-14S,1,M,3,4,25.556,1,Lot-for-Lot,False,-
FRAME-KIDS,1,M,3,5,320.0,2,FOQ (320 units),False,-
FRAME-MTB,1,M,3,5,110.505,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,3,5,163.636,2,Lot-for-Lot,False,-
SADDLE-ASSY,1,P,3,5,2669.0,2,"EOQ (2,669 units)",False,SUP-02
WHEEL-700C,1,M,3,4,101.111,1,Lot-for-Lot,False,-
RIM-26,2,P,3,6,910.0,3,FOQ (910 units),False,SUP-03
TUBESET-ROAD,2,M,3,4,148.423,1,Lot-for-Lot,False,-
TYRE-20,2,P,3,6,800.0,3,FOQ (800 units),False,SUP-05
TYRE-700C,2,P,3,7,620.0,4,FOQ (620 units),False,SUP-05
BIKE-MTB,0,M,4,5,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,4,5,164.0,1,Lot-for-Lot,False,-
