ReqID,Item,Quantity,Supplier,ReleasePeriod,DuePeriod,LeadTime,Status,Value
PR-0001,CRANKSET,1150.0,SUP-02,1,4,3,Planned,11270.0
PR-0002,DERAILLEUR,910.0,SUP-06,1,1,5,Past Due - Expedite,11375.0
PR-0003,DERAILLEUR,910.0,SUP-06,1,6,5,Planned,11375.0
PR-0004,TYRE-700C,620.0,SUP-05,1,1,4,Past Due - Expedite,4278.0
PR-0005,TYRE-700C,620.0,SUP-05,1,5,4,Planned,4278.0
PR-0006,ALU-TUBE-STK,4300.0,SUP-07,1,5,4,Planned,7740.0
PR-0007,STL-TUBE-STK,1750.0,SUP-07,1,4,3,Planned,1662.5
PR-0008,BRAKE-DISC,450.0,SUP-01,2,5,3,Planned,9900.0
PR-0009,CHAIN,3700.0,SUP-02,2,4,2,Planned,15170.0
PR-0010,HUB-STD,4995.0,SUP-04,2,6,4,Planned,22477.5
PR-0011,PAINT-PWD,1664.0,SUP-08,2,4,2,Planned,10649.6
PR-0012,RIM-700C,620.0,SUP-03,2,5,3,Planned,4588.0
PR-0013,TYRE-26,910.0,SUP-05,2,6,4,Planned,5096.0
PR-0014,BRAKE-RIM,700.0,SUP-01,3,5,2,Planned,6650.0
PR-0015,SADDLE-ASSY,2669.0,SUP-02,3,5,2,Planned,20818.2
PR-0016,RIM-26,910.0,SUP-03,3,6,3,Planned,5642.0
PR-0017,TYRE-20,800.0,SUP-05,3,6,3,Planned,2720.0
PR-0018,TYRE-700C,620.0,SUP-05,3,7,4,Planned,4278.0
PR-0019,DERAILLEUR,910.0,SUP-06,4,9,5,Planned,11375.0
PR-0020,RIM-20,800.0,SUP-03,4,6,2,Planned,2480.0
PR-0021,RIM-700C,620.0,SUP-03,4,7,3,Planned,4588.0
PR-0022,SPOKE,87000.0,SUP-04,4,6,2,Planned,7830.0
PR-0023,ALU-TUBE-STK,4300.0,SUP-07,4,8,4,Planned,7740.0
PR-0024,STL-TUBE-STK,1750.0,SUP-07,4,7,3,Planned,1662.5
PR-0025,BRAKE-DISC,450.0,SUP-01,5,8,3,Planned,9900.0
PR-0026,BRAKE-RIM,700.0,SUP-01,5,7,2,Planned,6650.0
PR-0027,CRANKSET,1150.0,SUP-02,5,8,3,Planned,11270.0
PR-0028,TYRE-26,910.0,SUP-05,5,9,4,Planned,5096.0
PR-0029,CRANKSET,1150.0,SUP-02,6,9,3,Planned,11270.0
PR-0030,RIM-26,910.0,SUP-03,6,9,3,Planned,5642.0
PR-0031,TYRE-20,800.0,SUP-05,6,9,3,Planned,2720.0
PR-0032,TYRE-700C,620.0,SUP-05,6,10,4,Planned,4278.0
PR-0033,BRAKE-DISC,450.0,SUP-01,7,10,3,Planned,9900.0
PR-0034,RIM-20,800.0,SUP-03,7,9,2,Planned,2480.0
PR-0035,RIM-700C,620.0,SUP-03,7,10,3,Planned,4588.0
PR-0036,SPOKE,87000.0,SUP-04,7,9,2,Planned,7830.0
PR-0037,BRAKE-RIM,700.0,SUP-01,8,10,2,Planned,6650.0
PR-0038,SADDLE-ASSY,2669.0,SUP-02,9,11,2,Planned,20818.2
