JobID,Item,Quantity,OpSeq,Operation,WorkCentre,Machine,Start,End,SetupHrs,RunHrs,ProcessHrs,WaitHrs,DueHrs,Rule
PO-0003,TUBESET-ROAD,40.567,10,Cut & Miter Tubes,WC01,WC01-M1,0.0,5.624,0.667,4.958,5.624,0.0,80.0,FCFS
PO-0002,FRAME-ROAD,79.899,10,Weld Frame,WC02,WC02-M1,0.0,22.092,1.412,20.68,22.092,0.0,160.0,FCFS
PO-0001,BIKE-KIDS,310.0,10,Final Assembly & QC,WC06,WC06-M1,0.0,66.176,0.529,65.647,66.176,0.0,80.0,FCFS
PO-0002,FRAME-ROAD,79.899,20,Powder Coat,WC03,WC03-M1,22.092,35.498,1.333,12.073,13.406,0.0,160.0,FCFS
PO-0005,TUBESET-KIDS,320.0,10,Cut & Miter Tubes,WC01,WC01-M1,80.0,105.333,0.444,24.889,25.333,0.0,160.0,FCFS
PO-0006,TUBESET-ROAD,166.976,10,Cut & Miter Tubes,WC01,WC01-M2,80.0,101.074,0.667,20.408,21.074,0.0,160.0,FCFS
PO-0004,FRAME-ROAD,165.657,10,Weld Frame,WC02,WC02-M1,80.0,124.288,1.412,42.876,44.288,0.0,240.0,FCFS
PO-0004,FRAME-ROAD,165.657,20,Powder Coat,WC03,WC03-M1,124.288,150.654,1.333,25.033,26.366,0.0,240.0,FCFS
PO-0014,TUBESET-ROAD,148.423,10,Cut & Miter Tubes,WC01,WC01-M1,160.0,178.808,0.667,18.141,18.808,0.0,240.0,FCFS
PO-0010,FRAME-KIDS,320.0,10,Weld Frame,WC02,WC02-M1,160.0,213.647,0.941,52.706,53.647,0.0,320.0,FCFS
PO-0011,FRAME-MTB,110.505,10,Weld Frame,WC02,WC02-M2,160.0,187.178,1.176,26.001,27.178,0.0,320.0,FCFS
PO-0007,BIKE-MTB,84.0,10,Final Assembly & QC,WC06,WC06-M1,160.0,185.412,0.706,24.706,25.412,0.0,240.0,FCFS
PO-0008,BIKE-ROAD,89.0,10,Final Assembly & QC,WC06,WC06-M2,160.0,188.512,0.765,27.747,28.512,0.0,240.0,FCFS
PO-0012,FRAME-ROAD,163.636,10,Weld Frame,WC02,WC02-M2,187.178,230.942,1.412,42.353,43.765,27.178,320.0,FCFS
PO-0011,FRAME-MTB,110.505,20,Powder Coat,WC03,WC03-M1,187.178,204.227,1.333,15.716,17.049,0.0,320.0,FCFS
PO-0010,FRAME-KIDS,320.0,20,Powder Coat,WC03,WC03-M1,213.647,248.847,1.067,34.133,35.2,0.0,320.0,FCFS
PO-0025,TUBESET-KIDS,320.0,10,Cut & Miter Tubes,WC01,WC01-M1,240.0,265.333,0.444,24.889,25.333,0.0,320.0,FCFS
PO-0026,TUBESET-MTB,155.879,10,Cut & Miter Tubes,WC01,WC01-M2,240.0,257.876,0.556,17.32,17.876,0.0,320.0,FCFS
PO-0020,FRAME-MTB,182.828,10,Weld Frame,WC02,WC02-M1,240.0,284.195,1.176,43.019,44.195,0.0,400.0,FCFS
PO-0021,FRAME-ROAD,145.455,10,Weld Frame,WC02,WC02-M2,240.0,279.059,1.412,37.647,39.059,0.0,400.0,FCFS
PO-0022,WHEEL-20,630.0,10,Lace & True Wheel,WC04,WC04-M1,240.0,304.773,0.341,64.432,64.773,0.0,320.0,FCFS
PO-0023,WHEEL-26,221.01,10,Lace & True Wheel,WC04,WC04-M2,240.0,270.592,0.455,30.137,30.592,0.0,320.0,FCFS
PO-0019,DRIVE-SS,910.0,10,Assemble Drivetrain,WC05,WC05-M1,240.0,311.167,0.389,70.778,71.167,0.0,320.0,FCFS
PO-0015,BIKE-MTB,181.0,10,Final Assembly & QC,WC06,WC06-M1,240.0,293.941,0.706,53.235,53.941,0.0,320.0,FCFS
PO-0016,BIKE-ROAD,164.0,10,Final Assembly & QC,WC06,WC06-M2,240.0,291.894,0.765,51.129,51.894,0.0,320.0,FCFS
PO-0012,FRAME-ROAD,163.636,20,Powder Coat,WC03,WC03-M1,248.847,274.908,1.333,24.727,26.06,17.905,320.0,FCFS
PO-0027,TUBESET-ROAD,135.024,10,Cut & Miter Tubes,WC01,WC01-M2,257.876,275.046,0.667,16.503,17.17,17.876,320.0,FCFS
PO-0021,FRAME-ROAD,145.455,20,Powder Coat,WC03,WC03-M1,279.059,302.373,1.333,21.98,23.314,0.0,400.0,FCFS
PO-0020,FRAME-MTB,182.828,20,Powder Coat,WC03,WC03-M1,302.373,329.708,1.333,26.002,27.335,18.177,400.0,FCFS
PO-0038,TUBESET-MTB,186.559,10,Cut & Miter Tubes,WC01,WC01-M1,320.0,341.284,0.556,20.729,21.284,0.0,400.0,FCFS
