Period,Week,Item,Demand
1,W01,CHAIR,256
2,W02,CHAIR,220
3,W03,CHAIR,243
4,W04,CHAIR,235
5,W05,CHAIR,236
6,W06,CHAIR,238
7,W07,CHAIR,224
8,W08,CHAIR,238
9,W09,CHAIR,233
10,W10,CHAIR,267
11,W11,CHAIR,242
12,W12,CHAIR,237
13,W13,CHAIR,238
14,W14,CHAIR,235
15,W15,CHAIR,232
16,W16,CHAIR,237
17,W17,CHAIR,244
18,W18,CHAIR,238
19,W19,CHAIR,248
20,W20,CHAIR,238
21,W21,CHAIR,240
22,W22,CHAIR,252
23,W23,CHAIR,244
24,W24,CHAIR,236
1,W01,TABLE,119
2,W02,TABLE,137
3,W03,TABLE,157
4,W04,TABLE,143
5,W05,TABLE,140
6,W06,TABLE,141
7,W07,TABLE,113
8,W08,TABLE,105
9,W09,TABLE,105
10,W10,TABLE,100
11,W11,TABLE,99
12,W12,TABLE,113
13,W13,TABLE,97
14,W14,TABLE,141
15,W15,TABLE,134
16,W16,TABLE,132
17,W17,TABLE,144
18,W18,TABLE,138
19,W19,TABLE,116
20,W20,TABLE,99
21,W21,TABLE,99
22,W22,TABLE,95
23,W23,TABLE,110
24,W24,TABLE,113
